,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_lakhs,Status,Transaction,Type,Per_Sqft
269,2799.0,4,4.0,Semi-Furnished,Greater Kailash,,650.0,Ready_to_move,New_Property,Builder_Floor,
270,2650.0,4,4.0,Unfurnished,Greater Kailash,2.0,750.0,Ready_to_move,New_Property,Builder_Floor,
271,2200.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,475.0,Ready_to_move,New_Property,Builder_Floor,
272,3500.0,5,5.0,Semi-Furnished,Greater Kailash,1.0,700.0,Ready_to_move,New_Property,Builder_Floor,20000.0
273,2200.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,475.0,Ready_to_move,New_Property,Builder_Floor,20000.0
274,2200.0,4,4.0,Semi-Furnished,Greater Kailash,1.0,400.0,Ready_to_move,New_Property,Builder_Floor,20000.0
275,3500.0,4,4.0,Semi-Furnished,Greater Kailash,3.0,850.0,Ready_to_move,New_Property,Builder_Floor,20000.0
276,1440.0,3,3.0,Semi-Furnished,Greater Kailash,3.0,260.0,Ready_to_move,New_Property,Builder_Floor,20000.0
277,3150.0,4,4.0,Semi-Furnished,Greater Kailash,3.0,350.0,Ready_to_move,Resale,Builder_Floor,11111.0
278,900.0,2,2.0,Semi-Furnished,Greater Kailash,3.0,200.0,Ready_to_move,Resale,Builder_Floor,11111.0
279,3690.0,4,5.0,Semi-Furnished,Greater Kailash,3.0,790.0,Almost_ready,New_Property,Builder_Floor,21409.0
280,1200.0,3,2.0,Semi-Furnished,Greater Kailash,3.0,170.0,Ready_to_move,Resale,Builder_Floor,21409.0
281,4500.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,475.0,Ready_to_move,Resale,Builder_Floor,95000.0
282,2799.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,430.0,Ready_to_move,New_Property,Builder_Floor,15363.0
283,1350.0,3,3.0,Unfurnished,Greater Kailash,1.0,260.0,Ready_to_move,New_Property,Builder_Floor,19259.0
284,1200.0,3,3.0,Unfurnished,Greater Kailash,1.0,250.0,Ready_to_move,New_Property,Builder_Floor,20833.0
285,2177.0,4,5.0,Semi-Furnished,Greater Kailash,2.0,510.0,Ready_to_move,New_Property,Builder_Floor,20833.0
286,1500.0,3,3.0,Semi-Furnished,Greater Kailash,2.0,400.0,Ready_to_move,New_Property,Builder_Floor,20833.0
287,1600.0,3,3.0,Unfurnished,Greater Kailash,1.0,225.0,Ready_to_move,Resale,Builder_Floor,20833.0
288,4500.0,4,4.0,Semi-Furnished,Greater Kailash,1.0,700.0,Ready_to_move,New_Property,Builder_Floor,20833.0
289,2150.0,4,4.0,Unfurnished,Greater Kailash,2.0,450.0,Ready_to_move,New_Property,Builder_Floor,20930.0
290,2107.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,511.0,Ready_to_move,New_Property,Apartment,20930.0
291,1150.0,3,3.0,Semi-Furnished,Greater Kailash,1.0,255.0,Ready_to_move,New_Property,Builder_Floor,20930.0
292,1240.0,3,3.0,Unfurnished,Greater Kailash,2.0,265.0,Ready_to_move,New_Property,Builder_Floor,20930.0
293,1000.0,2,2.0,Unfurnished,Greater Kailash,1.0,150.0,Ready_to_move,Resale,Builder_Floor,20930.0
294,4500.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,550.0,Ready_to_move,Resale,Builder_Floor,20930.0
295,1150.0,3,3.0,Semi-Furnished,Greater Kailash,2.0,260.0,Ready_to_move,New_Property,Builder_Floor,20930.0
296,2000.0,4,4.0,Semi-Furnished,Greater Kailash,2.0,380.0,Ready_to_move,Resale,Builder_Floor,20930.0
297,4500.0,4,5.0,Semi-Furnished,Greater Kailash,2.0,725.0,Ready_to_move,Resale,Builder_Floor,20930.0
298,3000.0,4,5.0,Semi-Furnished,Greater Kailash,4.0,650.0,Ready_to_move,New_Property,Builder_Floor,20930.0
299,700.0,2,2.0,Unfurnished,Shahdara,,46.0,Ready_to_move,New_Property,Builder_Floor,
300,750.0,2,2.0,Semi-Furnished,Shahdara,,92.0,Ready_to_move,Resale,Builder_Floor,
301,1350.0,4,3.0,Unfurnished,Shahdara,2.0,95.0,Ready_to_move,Resale,Apartment,
302,900.0,2,2.0,Semi-Furnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Builder_Floor,
303,970.0,3,2.0,Semi-Furnished,Shahdara,1.0,65.0,Ready_to_move,Resale,Builder_Floor,
304,1000.0,3,2.0,Furnished,Shahdara,1.0,56.5,Ready_to_move,Resale,Builder_Floor,
305,1425.0,3,3.0,Semi-Furnished,Shahdara,1.0,93.0,Ready_to_move,Resale,Builder_Floor,6526.0
306,440.0,2,2.0,Unfurnished,Shahdara,1.0,27.0,Ready_to_move,Resale,Apartment,6526.0
307,1017.0,2,2.0,Furnished,Shahdara,1.0,65.0,Ready_to_move,New_Property,Builder_Floor,6526.0
308,650.0,2,2.0,Semi-Furnished,Shahdara,1.0,58.0,Ready_to_move,Resale,Apartment,6526.0
309,950.0,3,2.0,Semi-Furnished,Shahdara,1.0,55.0,Ready_to_move,Resale,Apartment,6526.0
310,810.0,3,2.0,Semi-Furnished,Shahdara,1.0,60.0,Ready_to_move,Resale,Builder_Floor,6526.0
311,750.0,2,2.0,Unfurnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Builder_Floor,6526.0
312,990.0,2,2.0,Semi-Furnished,Shahdara,2.0,41.0,Ready_to_move,Resale,Builder_Floor,6526.0
313,800.0,3,2.0,Semi-Furnished,Shahdara,2.0,38.0,Ready_to_move,Resale,Builder_Floor,6526.0
314,675.0,2,1.0,Unfurnished,Shahdara,1.0,33.0,Ready_to_move,Resale,Apartment,6526.0
315,558.0,2,1.0,Unfurnished,Shahdara,1.0,29.0,Ready_to_move,New_Property,Builder_Floor,6526.0
316,445.0,2,1.0,Unfurnished,Shahdara,1.0,20.0,Ready_to_move,Resale,Builder_Floor,6526.0
317,360.0,2,1.0,Unfurnished,Shahdara,1.0,15.5,Ready_to_move,New_Property,Builder_Floor,6526.0
318,1350.0,4,3.0,Semi-Furnished,Shahdara,1.0,113.0,Ready_to_move,New_Property,Builder_Floor,6526.0
319,850.0,3,2.0,Semi-Furnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Builder_Floor,6526.0
320,846.0,2,1.0,Unfurnished,Shahdara,1.0,33.0,Ready_to_move,New_Property,Apartment,3901.0
321,1300.0,4,3.0,Furnished,Shahdara,1.0,115.0,Ready_to_move,New_Property,Builder_Floor,3901.0
322,900.0,3,2.0,Semi-Furnished,Shahdara,1.0,60.0,Almost_ready,New_Property,Builder_Floor,3901.0
323,1050.0,3,2.0,Semi-Furnished,Shahdara,1.0,90.0,Ready_to_move,Resale,Apartment,3901.0
324,850.0,2,2.0,Furnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Builder_Floor,3901.0
325,1650.0,4,3.0,Furnished,Shahdara,1.0,140.0,Almost_ready,New_Property,Apartment,3901.0
326,1150.0,2,2.0,Semi-Furnished,Shahdara,1.0,73.0,Ready_to_move,Resale,Apartment,6347.0
327,495.1394,1,1.0,Furnished,Shahdara,1.0,19.0,Ready_to_move,Resale,Builder_Floor,41304.0
328,1053.0,3,2.0,Furnished,Shahdara,4.0,70.0,Ready_to_move,Resale,Builder_Floor,41304.0
329,810.0,3,2.0,Semi-Furnished,Shahdara,1.0,60.0,Ready_to_move,Resale,Builder_Floor,
330,750.0,1,2.0,Semi-Furnished,Shahdara,1.0,64.0,Ready_to_move,Resale,Builder_Floor,
331,540.0,2,1.0,Furnished,Shahdara,1.0,27.0,Ready_to_move,New_Property,Apartment,5000.0
332,747.0,2,2.0,Furnished,Shahdara,1.0,65.0,Ready_to_move,Resale,Builder_Floor,8701.0
333,720.0,2,1.0,Unfurnished,Shahdara,1.0,40.0,Ready_to_move,Resale,Builder_Floor,5556.0
334,376.7365,1,1.0,Semi-Furnished,Shahdara,1.0,30.0,Ready_to_move,New_Property,Apartment,85715.0
335,1125.0,2,2.0,Unfurnished,Shahdara,1.0,50.0,Ready_to_move,Resale,Builder_Floor,4444.0
336,713.0,2,2.0,Semi-Furnished,Shahdara,1.0,60.0,Ready_to_move,New_Property,Builder_Floor,4444.0
337,360.0,1,1.0,Unfurnished,Shahdara,1.0,25.0,Ready_to_move,Resale,Builder_Floor,6944.0
338,900.0,2,2.0,Semi-Furnished,Shahdara,1.0,65.0,Ready_to_move,Resale,Apartment,7222.0
339,713.0,3,1.0,Unfurnished,Shahdara,1.0,80.0,Ready_to_move,Resale,Apartment,11220.0
340,504.0,2,1.0,Furnished,Shahdara,1.0,27.0,Ready_to_move,Resale,Builder_Floor,5357.0
341,70.0,1,2.0,Unfurnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Apartment,5357.0
342,850.0,3,2.0,Furnished,Shahdara,1.0,57.0,Ready_to_move,Resale,Builder_Floor,6706.0
343,2430.0,4,3.0,Furnished,Shahdara,1.0,250.0,Ready_to_move,Resale,Builder_Floor,10288.0
344,2475.0,3,3.0,Furnished,Shahdara,1.0,700.0,Ready_to_move,Resale,Builder_Floor,28283.0
345,2970.0,7,4.0,Furnished,Shahdara,1.0,265.0,Ready_to_move,Resale,Builder_Floor,8923.0
346,2250.0,3,2.0,Furnished,Shahdara,1.0,185.0,Ready_to_move,Resale,Builder_Floor,8222.0
347,1500.0,5,3.0,Furnished,Shahdara,1.0,300.0,Ready_to_move,Resale,Builder_Floor,20000.0
348,1512.0,2,2.0,Furnished,Shahdara,1.0,220.0,Ready_to_move,Resale,Builder_Floor,14550.0
350,2160.0,3,3.0,Furnished,Shahdara,1.0,650.0,Ready_to_move,Resale,Builder_Floor,30093.0
351,630.0,3,2.0,Furnished,Shahdara,1.0,225.0,Ready_to_move,Resale,Builder_Floor,35714.0
352,324.0,6,3.0,Furnished,Shahdara,1.0,87.0,Ready_to_move,Resale,Builder_Floor,35714.0
353,720.0,6,5.0,Furnished,Shahdara,1.0,220.0,Ready_to_move,Resale,Builder_Floor,35714.0
354,675.0,4,2.0,Furnished,Shahdara,2.0,185.0,Ready_to_move,Resale,Builder_Floor,35714.0
355,700.0,2,1.0,Furnished,Shahdara,2.0,160.0,Ready_to_move,New_Property,Builder_Floor,22857.0
356,675.0,4,3.0,Furnished,Shahdara,2.0,160.0,Ready_to_move,Resale,Builder_Floor,22857.0
357,720.0,4,2.0,Furnished,Shahdara,2.0,90.0,Ready_to_move,Resale,Builder_Floor,12500.0
358,850.0,2,2.0,Furnished,Shahdara,1.0,45.0,Ready_to_move,Resale,Builder_Floor,12500.0
359,801.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,60.0,Ready_to_move,New_Property,Builder_Floor,
360,450.0,1,2.0,Unfurnished,Laxmi Nagar,1.0,27.0,Ready_to_move,Resale,Builder_Floor,
361,1000.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,65.0,Ready_to_move,Resale,Apartment,
362,990.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,40.0,Ready_to_move,Resale,Apartment,4040.0
363,420.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,26.0,Ready_to_move,New_Property,Builder_Floor,4040.0
364,450.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,35.0,Ready_to_move,Resale,Builder_Floor,7778.0
365,1000.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,75.0,Ready_to_move,Resale,Apartment,7778.0
366,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,70.0,Ready_to_move,Resale,Builder_Floor,7778.0
367,800.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,45.0,Ready_to_move,New_Property,Builder_Floor,7778.0
368,720.0,3,3.0,Semi-Furnished,Laxmi Nagar,2.0,55.0,Ready_to_move,Resale,Builder_Floor,7778.0
369,450.0,2,1.0,Semi-Furnished,Laxmi Nagar,2.0,27.0,Ready_to_move,New_Property,Builder_Floor,7778.0
370,675.0,2,2.0,Furnished,Laxmi Nagar,2.0,24.0,Ready_to_move,Resale,Builder_Floor,32000.0
371,1700.0,4,3.0,Unfurnished,Laxmi Nagar,2.0,115.0,Ready_to_move,New_Property,Builder_Floor,32000.0
372,550.0,2,2.0,Unfurnished,Laxmi Nagar,2.0,36.0,Ready_to_move,New_Property,Builder_Floor,32000.0
373,387.0,1,2.0,Unfurnished,Laxmi Nagar,2.0,17.0,Ready_to_move,New_Property,Builder_Floor,32000.0
374,450.0,2,1.0,Unfurnished,Laxmi Nagar,2.0,25.0,Ready_to_move,Resale,Apartment,32000.0
375,900.0,4,2.0,Furnished,Laxmi Nagar,1.0,66.0,Ready_to_move,Resale,Builder_Floor,32000.0
376,500.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,37.0,Ready_to_move,Resale,Builder_Floor,32000.0
377,441.0,2,1.0,Unfurnished,Laxmi Nagar,1.0,35.0,Ready_to_move,Resale,Apartment,32000.0
378,800.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,54.0,Ready_to_move,Resale,Builder_Floor,32000.0
381,715.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,56.0,Ready_to_move,Resale,Apartment,5666.0
382,600.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,70.0,Ready_to_move,Resale,Builder_Floor,11667.0
383,540.0,2,1.0,Unfurnished,Laxmi Nagar,1.0,35.0,Ready_to_move,Resale,Builder_Floor,11667.0
384,312.0,4,4.0,Furnished,Laxmi Nagar,1.0,350.0,Ready_to_move,Resale,Apartment,112179.0
385,810.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,90.0,Ready_to_move,Resale,Builder_Floor,11111.0
386,270.0,1,1.0,Semi-Furnished,Laxmi Nagar,1.0,23.0,Ready_to_move,Resale,Builder_Floor,11111.0
387,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,60.0,Ready_to_move,Resale,Builder_Floor,11111.0
388,1000.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,60.0,Ready_to_move,Resale,Apartment,11111.0
389,540.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,26.5,Ready_to_move,New_Property,Builder_Floor,
390,950.0,3,2.0,Furnished,Uttam Nagar,1.0,43.7,Ready_to_move,New_Property,Apartment,4600.0
391,1000.0,3,2.0,Unfurnished,Dwarka Mor,1.0,46.2,Ready_to_move,New_Property,Apartment,4620.0
392,540.0,2,2.0,Semi-Furnished,Dwarka Mor,1.0,30.0,Ready_to_move,New_Property,Apartment,5000.0
393,540.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,33.0,Ready_to_move,New_Property,Apartment,6111.0
395,500.0,2,2.0,Semi-Furnished,Dwarka Mor,1.0,32.0,Ready_to_move,New_Property,Builder_Floor,6111.0
396,540.0,2,2.0,Semi-Furnished,Uttam Nagar West,1.0,26.0,Ready_to_move,New_Property,Builder_Floor,6111.0
397,780.0,3,2.0,Semi-Furnished,Uttam Nagar,1.0,40.0,Ready_to_move,New_Property,Builder_Floor,6111.0
398,450.0,2,1.0,Semi-Furnished,Uttam Nagar West,1.0,18.5,Ready_to_move,New_Property,Builder_Floor,6111.0
399,360.0,1,1.0,Semi-Furnished,Uttam Nagar,1.0,17.0,Ready_to_move,New_Property,Builder_Floor,6111.0
400,900.0,3,2.0,Semi-Furnished,Dwarka Mor,1.0,28.0,Ready_to_move,New_Property,Builder_Floor,6111.0
401,495.0,2,2.0,Semi-Furnished,Uttam Nagar West,1.0,21.5,Ready_to_move,New_Property,Builder_Floor,6111.0
402,1200.0,4,3.0,Semi-Furnished,Dwarka Mor,1.0,68.0,Ready_to_move,New_Property,Builder_Floor,6111.0
403,1000.0,3,2.0,Semi-Furnished,Uttam Nagar,1.0,62.0,Ready_to_move,New_Property,Builder_Floor,6111.0
404,620.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,31.0,Ready_to_move,New_Property,Builder_Floor,6111.0
405,680.0,3,2.0,Semi-Furnished,Dwarka Mor,1.0,34.0,Ready_to_move,New_Property,Builder_Floor,6111.0
406,805.0,2,2.0,Unfurnished,Uttam Nagar,1.0,40.0,Ready_to_move,Resale,Builder_Floor,6111.0
407,729.0,2,2.0,Semi-Furnished,Razapur Khurd,1.0,48.0,Ready_to_move,Resale,Builder_Floor,6584.0
408,540.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,25.0,Ready_to_move,New_Property,Builder_Floor,6584.0
409,360.0,1,1.0,Semi-Furnished,Uttam Nagar,1.0,20.0,Ready_to_move,New_Property,Builder_Floor,6584.0
410,550.0,2,2.0,Semi-Furnished,Uttam Nagar West,1.0,19.0,Ready_to_move,New_Property,Builder_Floor,6584.0
411,1001.0,3,2.0,Furnished,Dwarka Mor,1.0,58.0,Ready_to_move,New_Property,Builder_Floor,5794.0
412,450.0,2,2.0,Unfurnished,Dwarka Mor,1.0,29.0,Ready_to_move,Resale,Builder_Floor,5794.0
413,550.0,2,1.0,Semi-Furnished,Uttam Nagar West,1.0,20.0,Ready_to_move,New_Property,Builder_Floor,5794.0
415,675.0,2,1.0,Unfurnished,Uttam Nagar,1.0,29.0,Ready_to_move,Resale,Builder_Floor,5794.0
416,585.0,2,2.0,Unfurnished,Uttam Nagar,1.0,32.0,Ready_to_move,Resale,Builder_Floor,5794.0
417,810.0,3,2.0,Semi-Furnished,Uttam Nagar,1.0,54.0,Ready_to_move,Resale,Builder_Floor,5794.0
418,765.0,3,2.0,Semi-Furnished,Dwarka Mor,1.0,38.0,Ready_to_move,Resale,Builder_Floor,5794.0
419,4688.0,5,4.0,Unfurnished,Patel Nagar,1.0,1350.0,Almost_ready,New_Property,Apartment,28797.0
420,3901.0,4,4.0,Unfurnished,Patel Nagar,1.0,930.0,Almost_ready,New_Property,Apartment,23840.0
421,70.0,2,3.0,Furnished,Patel Nagar,1.0,82.0,Ready_to_move,New_Property,Builder_Floor,23840.0
422,800.0,3,2.0,Unfurnished,Patel Nagar West,1.0,80.0,Ready_to_move,Resale,Builder_Floor,23840.0
423,900.0,3,2.0,Semi-Furnished,Patel Nagar West,1.0,95.0,Ready_to_move,Resale,Builder_Floor,23840.0
424,1680.0,4,5.0,Semi-Furnished,Patel Nagar West,1.0,200.0,Ready_to_move,Resale,Builder_Floor,23840.0
425,900.0,2,2.0,Furnished,Patel Nagar West,3.0,74.0,Ready_to_move,Resale,Builder_Floor,23840.0
426,2000.0,3,3.0,Semi-Furnished,Patel Nagar,1.0,375.0,Ready_to_move,Resale,Apartment,23840.0
427,2000.0,4,4.0,Semi-Furnished,Patel Nagar West,3.0,150.0,Ready_to_move,Resale,Builder_Floor,7500.0
428,1900.0,3,3.0,Semi-Furnished,Patel Nagar,1.0,553.0,Almost_ready,New_Property,Apartment,7500.0
429,1530.0,3,3.0,Semi-Furnished,Patel Nagar,2.0,265.0,Ready_to_move,Resale,Builder_Floor,7500.0
430,100.0,3,2.0,Semi-Furnished,Patel Nagar,2.0,160.0,Ready_to_move,Resale,Apartment,160000.0
431,900.0,3,2.0,Furnished,Patel Nagar West,2.0,104.0,Ready_to_move,Resale,Builder_Floor,11556.0
432,270.0,1,1.0,Unfurnished,Patel Nagar West,2.0,17.0,Ready_to_move,Resale,Builder_Floor,11556.0
433,950.0,2,2.0,Semi-Furnished,Patel Nagar West,2.0,80.0,Ready_to_move,Resale,Builder_Floor,8421.0
434,1800.0,3,3.0,Semi-Furnished,Patel Nagar,2.0,270.0,Ready_to_move,Resale,Builder_Floor,8421.0
435,1500.0,3,3.0,Semi-Furnished,Patel Nagar West,2.0,195.0,Ready_to_move,Resale,Builder_Floor,8421.0
436,1800.0,3,3.0,Furnished,Patel Nagar,3.0,500.0,Ready_to_move,Resale,Apartment,27778.0
437,1800.0,3,3.0,Unfurnished,Patel Nagar West,3.0,211.0,Ready_to_move,Resale,Builder_Floor,11722.0
438,2306.0,3,3.0,Unfurnished,Patel Nagar,1.0,570.0,Almost_ready,New_Property,Apartment,24718.0
439,850.0,2,3.0,Semi-Furnished,Patel Nagar West,1.0,59.0,Ready_to_move,Resale,Builder_Floor,24718.0
440,140.0,3,2.0,Unfurnished,Patel Nagar,1.0,120.0,Ready_to_move,New_Property,Builder_Floor,85714.0
441,900.0,3,2.0,Unfurnished,Patel Nagar West,1.0,120.0,Ready_to_move,Resale,Builder_Floor,13333.0
442,1800.0,3,3.0,Unfurnished,Patel Nagar West,1.0,240.0,Ready_to_move,Resale,Apartment,13333.0
443,200.0,1,1.0,Semi-Furnished,Patel Nagar,1.0,70.0,Ready_to_move,Resale,Apartment,13333.0
444,1782.0,3,3.0,Semi-Furnished,Patel Nagar,1.0,150.0,Ready_to_move,Resale,Apartment,8418.0
445,900.0,2,2.0,Furnished,Patel Nagar,1.0,15.0,Ready_to_move,Resale,Builder_Floor,1667.0
446,405.0,2,1.0,Semi-Furnished,Patel Nagar West,1.0,39.5,Ready_to_move,Resale,Apartment,1667.0
447,1500.0,3,3.0,Unfurnished,Patel Nagar West,1.0,125.0,Ready_to_move,Resale,Builder_Floor,8333.0
448,66.0,3,1.0,Unfurnished,Patel Nagar,1.0,16.0,Ready_to_move,New_Property,Apartment,24242.0
451,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,1.0,150.0,Ready_to_move,Resale,Apartment,
452,1400.0,3,2.0,Semi-Furnished,Vasant Kunj,2.0,250.0,Ready_to_move,New_Property,Apartment,
453,1600.0,3,2.0,Semi-Furnished,Vasant Kunj,2.0,185.0,Ready_to_move,Resale,Apartment,
455,600.0,1,1.0,Semi-Furnished,Vasant Kunj,1.0,80.0,Ready_to_move,New_Property,Apartment,
457,2000.0,3,3.0,Unfurnished,Vasant Kunj,1.0,310.0,Ready_to_move,Resale,Apartment,15500.0
459,1100.0,2,2.0,Unfurnished,Vasant Kunj,1.0,155.0,Ready_to_move,Resale,Apartment,15500.0
462,1200.0,3,2.0,Semi-Furnished,Vasant Kunj Sector A,2.0,250.0,Ready_to_move,Resale,Apartment,20833.0
463,600.0,1,2.0,Unfurnished,Vasant Kunj,2.0,70.0,Ready_to_move,New_Property,Apartment,20833.0
464,1000.0,2,2.0,Unfurnished,Vasant Kunj,1.0,175.0,Ready_to_move,Resale,Apartment,20833.0
466,1750.0,4,4.0,Unfurnished,Vasant Kunj Sector C,1.0,290.0,Ready_to_move,New_Property,Apartment,20833.0
468,550.0,1,2.0,Furnished,Vasant Kunj Sector D,1.0,75.0,Ready_to_move,Resale,Apartment,20833.0
470,1100.0,2,2.0,Semi-Furnished,Vasant Kunj Sector C,2.0,240.0,Ready_to_move,Resale,Apartment,21818.0
471,1700.0,3,2.0,Semi-Furnished,Vasant Kunj,2.0,310.0,Ready_to_move,Resale,Builder_Floor,21818.0
472,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,3.0,165.0,Ready_to_move,Resale,Apartment,21818.0
473,1000.0,2,2.0,Furnished,Vasant Kunj,1.0,50.0,Ready_to_move,Resale,Builder_Floor,21818.0
476,2000.0,4,2.0,Furnished,Vasant Kunj Sector B,1.0,400.0,Ready_to_move,New_Property,Apartment,14358.0
477,3500.0,4,4.0,Semi-Furnished,Vasant Kunj,5.0,225.0,Ready_to_move,New_Property,Builder_Floor,14358.0
478,900.0,3,3.0,Furnished,Vasant Kunj,2.0,200.0,Ready_to_move,Resale,Builder_Floor,14358.0
479,4688.0,5,4.0,Unfurnished,Patel Nagar,1.0,1350.0,Almost_ready,New_Property,Apartment,28797.0
481,3901.0,4,4.0,Unfurnished,Patel Nagar,1.0,930.0,Almost_ready,New_Property,Apartment,23840.0
482,950.0,3,2.0,Furnished,Uttam Nagar,1.0,43.7,Ready_to_move,New_Property,Apartment,4600.0
483,1000.0,3,2.0,Unfurnished,Dwarka Mor,1.0,46.2,Ready_to_move,New_Property,Apartment,4620.0
484,850.0,2,1.0,Semi-Furnished,Dwarka Sector 24,1.0,19.0,Ready_to_move,New_Property,Apartment,2235.0
485,2400.0,4,4.0,Semi-Furnished,Greater Kailash 2,1.0,700.0,Ready_to_move,New_Property,Apartment,2235.0
487,540.0,2,2.0,Semi-Furnished,Dwarka Mor,1.0,30.0,Ready_to_move,New_Property,Apartment,5000.0
488,1387.0,4,4.0,Unfurnished,Dwarka Sector 24,1.0,58.9,Ready_to_move,New_Property,Apartment,4247.0
489,540.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,33.0,Ready_to_move,New_Property,Apartment,6111.0
490,976.0,2,2.0,Furnished,Okhla,1.0,249.0,Ready_to_move,New_Property,Apartment,25512.0
491,1050.0,3,2.0,Unfurnished,Dwarka Sector 21,1.0,37.0,Ready_to_move,New_Property,Apartment,3524.0
492,2700.0,4,3.0,Semi-Furnished,Greater Kailash 1,1.0,600.0,Ready_to_move,New_Property,Builder_Floor,22222.0
493,1500.0,3,2.0,Unfurnished,Dwarka Sector 12,1.0,174.0,Ready_to_move,Resale,Apartment,22222.0
494,2900.0,5,5.0,Furnished,Janakpuri Block A3,1.0,510.0,Almost_ready,New_Property,Builder_Floor,22222.0
495,5025.0,5,6.0,Unfurnished,Greater Kailash 2,4.0,1700.0,Almost_ready,New_Property,Builder_Floor,22222.0
497,1135.0,3,3.0,Furnished,Karol Bagh,2.0,250.0,Almost_ready,Resale,Apartment,22222.0
498,2306.0,3,3.0,Unfurnished,Patel Nagar,1.0,570.0,Almost_ready,New_Property,Apartment,24718.0
499,850.0,2,2.0,Semi-Furnished,Najafgarh,1.0,29.4,Almost_ready,New_Property,Apartment,24718.0
500,1200.0,3,3.0,Semi-Furnished,Dwarka Sector 12,1.0,155.0,Ready_to_move,Resale,Apartment,24718.0
501,1700.0,3,2.0,Semi-Furnished,Dwarka,1.0,172.0,Ready_to_move,Resale,Apartment,24718.0
502,1800.0,4,3.0,Semi-Furnished,Vasant Vihar,2.0,550.0,Ready_to_move,Resale,Builder_Floor,30556.0
503,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,1.0,150.0,Ready_to_move,Resale,Apartment,30556.0
504,22050.0,4,4.0,Semi-Furnished,Greater Kailash 1,2.0,510.0,Almost_ready,New_Property,Builder_Floor,30556.0
505,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,130.0,Ready_to_move,New_Property,Builder_Floor,30556.0
506,1600.0,3,3.0,Semi-Furnished,Greater Kailash 1,1.0,300.0,Ready_to_move,New_Property,Builder_Floor,18750.0
507,700.0,2,2.0,Semi-Furnished,Madangir,1.0,24.0,Ready_to_move,New_Property,Builder_Floor,18750.0
508,45.0,4,3.0,Unfurnished,Okhla,1.0,55.0,Ready_to_move,New_Property,Builder_Floor,18750.0
509,450.0,2,2.0,,Shahdara,,29.0,Ready_to_move,Resale,,58000.0
510,540.0,5,2.0,,Shahdara,,170.0,Ready_to_move,Resale,,58000.0
511,1350.0,3,3.0,,Shahdara,,250.0,Ready_to_move,Resale,,18519.0
512,2250.0,3,2.0,,Shahdara,,100.0,Ready_to_move,Resale,,4444.0
514,504.0,3,1.0,Semi-Furnished,Shahdara,,36.0,Ready_to_move,Resale,Apartment,7143.0
515,65.0,3,2.0,Semi-Furnished,Shahdara,,350.0,Ready_to_move,New_Property,Apartment,7143.0
516,450.0,2,1.0,Unfurnished,Shahdara,,60.0,Ready_to_move,Resale,Apartment,13333.0
517,1800.0,4,2.0,Furnished,Shahdara,,175.0,Ready_to_move,Resale,Builder_Floor,9722.0
518,1800.0,4,3.0,Furnished,Shahdara,,350.0,Ready_to_move,Resale,Builder_Floor,19444.0
519,1530.0,5,2.0,Furnished,Shahdara,,102.0,Ready_to_move,Resale,Builder_Floor,6667.0
520,1750.0,4,4.0,Unfurnished,Vasant Kunj Sector C,1.0,290.0,Ready_to_move,New_Property,Apartment,6667.0
521,2210.0,4,3.0,Semi-Furnished,Okhla,1.0,410.0,Ready_to_move,Resale,Builder_Floor,6667.0
